ID,PurchaseOrderNo,DocumentType,Status,Supplier,SupplierName,CompanyCode,PurchasingOrg,PurchasingGroup,DocumentDate,DeliveryDate,CurrencyCode,PaymentTerms,IncotermsCode,IncotermsLocation,OurReference,CountryKey,ReverseCharge,NetAmount,TaxAmount,GrossAmount
a1000000-0000-4000-8000-000000000001,4500000001,NB,04,0000100001,Bosch Rexroth AG,1010,1010,001,2026-06-08,2026-06-22,EUR,0003,FOB,Hamburg,REQ-2026-0141,DE,false,5513.00,1047.47,6560.47
a1000000-0000-4000-8000-000000000002,4500000002,NB,03,0000100002,Siemens AG,1010,1010,002,2026-06-15,2026-07-01,EUR,0002,DAP,Muenchen,REQ-2026-0148,DE,false,29888.00,5678.72,35566.72
a1000000-0000-4000-8000-000000000003,4500000003,NB,04,0000100003,Schneider Electric SE,2010,2010,001,2026-06-24,2026-07-10,EUR,0003,EXW,Lyon,REQ-2026-0159,FR,false,27930.00,5586.00,33516.00
a1000000-0000-4000-8000-000000000004,4500000004,FO,01,0000100004,Renishaw plc,3010,3010,003,2026-07-02,2026-07-30,GBP,0003,CIF,Manchester,REQ-2026-0167,GB,false,15552.00,3110.40,18662.40
a1000000-0000-4000-8000-000000000005,4500000005,NB,02,0000100005,Honeywell International,1710,1710,002,2026-07-09,2026-07-28,USD,0001,DDP,Chicago,REQ-2026-0173,US,false,9831.00,712.75,10543.75
a1000000-0000-4000-8000-000000000006,4500000006,NB,03,0000100001,Bosch Rexroth AG,1010,1010,001,2026-07-16,2026-08-03,EUR,0003,FOB,Hamburg,REQ-2026-0181,DE,false,12891.00,2449.29,15340.29
a1000000-0000-4000-8000-000000000007,4500000007,RO,01,0000100002,Siemens AG,1010,1010,002,2026-07-27,2026-08-04,EUR,0001,DAP,Muenchen,REQ-2026-0190,DE,false,5096.00,968.24,6064.24
a1000000-0000-4000-8000-000000000008,4500000008,NB,02,0000100003,Schneider Electric SE,2010,2010,001,2026-08-04,2026-08-21,EUR,0002,EXW,Lyon,REQ-2026-0198,FR,false,22953.00,4590.60,27543.60
a1000000-0000-4000-8000-000000000009,4500000009,UB,01,0000100004,Renishaw plc,3010,3010,003,2026-08-12,2026-09-02,GBP,0003,CIF,Manchester,REQ-2026-0206,GB,false,9914.70,1982.94,11897.64
a1000000-0000-4000-8000-000000000010,4500000010,NB,01,0000100005,Honeywell International,1710,1710,002,2026-08-20,2026-09-08,USD,0003,DDP,Chicago,REQ-2026-0214,US,false,15667.00,1135.86,16802.86
